provnum,facilityid,provname,acquisitiondate,region,market,cluster,acquired_year,acquired_month,acquired_day,state,county_name,city,date,year,month,occupancy,age
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2017-10-01,2017,10,0.035516456,4
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2017-11-01,2017,11,0.124242425,5
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2017-12-01,2017,12,0.17008798,6
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-01-01,2018,1,0.2137504,7
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-02-01,2018,2,0.26406926,8
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-03-01,2018,3,0.26751384,9
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-04-01,2018,4,0.3794613,10
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-05-01,2018,5,0.42424244,11
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-06-01,2018,6,0.4848485,12
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-07-01,2018,7,0.53763443,13
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-08-01,2018,8,0.48028675,14
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-09-01,2018,9,0.53333336,15
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-10-01,2018,10,0.5685891,16
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-11-01,2018,11,0.56565654,17
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2018-12-01,2018,12,0.5650049,18
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-01-01,2019,1,0.6151841,19
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-02-01,2019,2,0.7092352,20
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-03-01,2019,3,0.7230368,21
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-04-01,2019,4,0.7164983,22
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-05-01,2019,5,0.7256435,23
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-06-01,2019,6,0.75824916,24
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-07-01,2019,7,0.77842945,25
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-08-01,2019,8,0.8220919,26
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-09-01,2019,9,0.82592595,27
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-10-01,2019,10,0.8390355,28
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-11-01,2019,11,0.83265996,29
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2019-12-01,2019,12,0.799609,30
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-04-01,2020,4,0.6922559,34
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-05-01,2020,5,0.6686217,35
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-06-01,2020,6,0.73569024,36
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-07-01,2020,7,0.72629523,37
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-08-01,2020,8,0.80026066,38
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-09-01,2020,9,0.7616162,39
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-10-01,2020,10,0.7904855,40
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-11-01,2020,11,0.7468014,41
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2020-12-01,2020,12,0.72271097,42
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2021-01-01,2021,1,0.78103614,43
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2021-02-01,2021,2,0.784632,44
465188,268.0,Pointe Meadows UPL Total,2017-06-01,Summit,Sunstone Market,Sunstone North Cluster,2017.0,6.0,1.0,UT,Utah,LEHI,2021-03-01,2021,3,0.74226135,45
