provnum,facilityid,provname,acquisitiondate,region,market,cluster,acquired_year,acquired_month,acquired_day,state,county_name,city,date,year,month,occupancy,age
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2017-07-01,2017,7,0.48552054,1
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2017-08-01,2017,8,0.501283,2
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2017-09-01,2017,9,0.51363635,3
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2017-10-01,2017,10,0.53977275,4
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2017-11-01,2017,11,0.54280305,5
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2017-12-01,2017,12,0.5201613,6
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-01-01,2018,1,0.5185117,7
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-02-01,2018,2,0.54241073,8
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-03-01,2018,3,0.5355572,9
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-04-01,2018,4,0.57007575,10
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-05-01,2018,5,0.5949414,11
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-06-01,2018,6,0.59185606,12
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-07-01,2018,7,0.58541054,13
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-08-01,2018,8,0.581195,14
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-09-01,2018,9,0.58257574,15
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-10-01,2018,10,0.5520528,16
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-11-01,2018,11,0.5443182,17
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2018-12-01,2018,12,0.5813783,18
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-01-01,2019,1,0.60337245,19
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-02-01,2019,2,0.6168831,20
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-03-01,2019,3,0.6086877,21
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-04-01,2019,4,0.5910985,22
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-05-01,2019,5,0.5991569,23
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-06-01,2019,6,0.6068182,24
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-07-01,2019,7,0.59329176,25
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-08-01,2019,8,0.5835777,26
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-09-01,2019,9,0.5799242,27
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-10-01,2019,10,0.58742666,28
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-11-01,2019,11,0.6035985,29
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2019-12-01,2019,12,0.5753299,30
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-04-01,2020,4,0.5914773,34
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-05-01,2020,5,0.53519064,35
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-06-01,2020,6,0.49488637,36
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-07-01,2020,7,0.4858871,37
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-08-01,2020,8,0.5507698,38
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-09-01,2020,9,0.54318184,39
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-10-01,2020,10,0.58192813,40
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-11-01,2020,11,0.6212121,41
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2020-12-01,2020,12,0.6204179,42
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2021-01-01,2021,1,0.62206745,43
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2021-02-01,2021,2,0.6077516,44
465003,266.0,Heritage Park UPL Total,2017-06-01,Summit,Milestone North,Positive Deviants,2017.0,6.0,1.0,UT,Weber,ROY,2021-03-01,2021,3,0.6259164,45
