provnum,facilityid,provname,acquisitiondate,region,market,cluster,acquired_year,acquired_month,acquired_day,state,county_name,city,date,year,month,occupancy,age
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2017-07-01,2017,7,0.8768817,0
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2017-08-01,2017,8,0.9580645,1
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2017-09-01,2017,9,0.9811111,2
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2017-10-01,2017,10,0.977957,3
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2017-11-01,2017,11,0.9938889,4
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2017-12-01,2017,12,0.96344084,5
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-01-01,2018,1,0.98494625,6
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-02-01,2018,2,0.95714283,7
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-03-01,2018,3,0.9741936,8
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-04-01,2018,4,0.9711111,9
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-05-01,2018,5,0.95268816,10
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-06-01,2018,6,0.97888887,11
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-07-01,2018,7,0.94623655,12
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-08-01,2018,8,0.94462365,13
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-09-01,2018,9,0.96166664,14
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-10-01,2018,10,0.9758065,15
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-11-01,2018,11,0.9738889,16
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2018-12-01,2018,12,0.9903226,17
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2019-01-01,2019,1,0.96505374,18
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2019-02-01,2019,2,0.98214287,19
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2019-03-01,2019,3,0.96881723,20
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2019-04-01,2019,4,0.96166664,21
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2019-05-01,2019,5,0.9790323,22
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2019-06-01,2019,6,0.95111114,23
065113,282.0,Medallion Total,2017-07-01,MidWest,Endura Market,Southern Peaks,2017.0,7.0,1.0,CO,El Paso,COLORADO SPRINGS,2019-07-01,2019,7,0.966129,24
