provnum,facilityid,provname,acquisitiondate,region,market,cluster,acquired_year,acquired_month,acquired_day,state,county_name,city,date,year,month,occupancy,age
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-04-01,2018,4,0.7856771,0
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-05-01,2018,5,0.73210686,1
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-06-01,2018,6,0.8046875,2
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-07-01,2018,7,0.7323589,3
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-08-01,2018,8,0.77620965,4
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-09-01,2018,9,0.7611979,5
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-10-01,2018,10,0.8251008,6
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-11-01,2018,11,0.75677085,7
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2018-12-01,2018,12,0.80846775,8
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-01-01,2019,1,0.7920867,9
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-02-01,2019,2,0.77845985,10
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-03-01,2019,3,0.8263609,11
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-04-01,2019,4,0.8484375,12
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-05-01,2019,5,0.86214715,13
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-06-01,2019,6,0.8408854,14
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-07-01,2019,7,0.750504,15
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-08-01,2019,8,0.8641633,16
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-09-01,2019,9,0.8565104,17
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-10-01,2019,10,0.8860887,18
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-11-01,2019,11,0.91484374,19
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2019-12-01,2019,12,0.8813004,20
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-04-01,2020,4,0.8018229,24
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-05-01,2020,5,0.8497984,25
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-06-01,2020,6,0.8565104,26
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-07-01,2020,7,0.8702117,27
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-08-01,2020,8,0.79410285,28
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-09-01,2020,9,0.8002604,29
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-10-01,2020,10,0.7754536,30
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-11-01,2020,11,0.78046876,31
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2020-12-01,2020,12,0.94934475,32
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2021-01-01,2021,1,0.9483367,33
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2021-02-01,2021,2,0.89481026,34
035144,289.0,Peoria Post Acute and Rehab,2018-04-01,Arizona,Bandera Phoenix West,Mamba Mentality,2018.0,4.0,1.0,AZ,Maricopa,PEORIA,2021-03-01,2021,3,0.8840726,35
