provnum,facilityid,provname,acquisitiondate,region,market,cluster,acquired_year,acquired_month,acquired_day,state,county_name,city,date,year,month,occupancy,age
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2017-10-01,2017,10,0.37096775,4
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2017-11-01,2017,11,0.4070707,5
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2017-12-01,2017,12,0.47776148,6
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-01-01,2018,1,0.47434017,7
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-02-01,2018,2,0.521645,8
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-03-01,2018,3,0.5520528,9
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-04-01,2018,4,0.5199495,10
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-05-01,2018,5,0.51564026,11
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-06-01,2018,6,0.4969697,12
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-07-01,2018,7,0.53641254,13
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-08-01,2018,8,0.5210166,14
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-09-01,2018,9,0.56363636,15
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-10-01,2018,10,0.5740469,16
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-11-01,2018,11,0.57575756,17
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2018-12-01,2018,12,0.61632454,18
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-01-01,2019,1,0.6353861,19
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-02-01,2019,2,0.67099565,20
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-03-01,2019,3,0.622434,21
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-04-01,2019,4,0.6638889,22
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-05-01,2019,5,0.686217,23
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-06-01,2019,6,0.6479798,24
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-07-01,2019,7,0.650782,25
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-08-01,2019,8,0.61730206,26
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-09-01,2019,9,0.6853535,27
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-10-01,2019,10,0.60459435,28
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-11-01,2019,11,0.64166665,29
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2019-12-01,2019,12,0.65004885,30
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2020-04-01,2020,4,0.66161615,34
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2020-05-01,2020,5,0.60215056,35
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2020-06-01,2020,6,0.5931818,36
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2020-07-01,2020,7,0.634653,37
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2020-08-01,2020,8,0.6918377,38
676426,257.0,Legend Fort Worth UPL Total,2017-06-01,Texas,Keystone West,Cobra Kai Cluster,2017.0,6.0,1.0,TX,Tarrant,KELLER,2020-09-01,2020,9,0.6578283,39
