provnum,facilityid,provname,acquisitiondate,region,market,cluster,acquired_year,acquired_month,acquired_day,state,county_name,city,date,year,month,occupancy,age
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2017-10-01,2017,10,0.57117075,1
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2017-11-01,2017,11,0.518648,2
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2017-12-01,2017,12,0.52402437,3
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-01-01,2018,1,0.53462666,4
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-02-01,2018,2,0.48776224,5
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-03-01,2018,3,0.51184297,6
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-04-01,2018,4,0.49463868,7
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-05-01,2018,5,0.5170314,8
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-06-01,2018,6,0.5722611,9
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-07-01,2018,7,0.5325964,10
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-08-01,2018,8,0.51658016,11
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-09-01,2018,9,0.5156177,12
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-10-01,2018,10,0.5280848,13
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-11-01,2018,11,0.5153846,14
035068,283.0,Pueblo Springs Rehab,2017-09-01,Arizona,Bandera Tucson,Sonoran Dogs,2017.0,9.0,1.0,AZ,Pima,TUCSON,2018-12-01,2018,12,0.55380106,15
