provnum,facilityid,provname,acquisitiondate,region,market,cluster,acquired_year,acquired_month,acquired_day,state,county_name,city,date,year,month,occupancy,age
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2017-07-01,2017,7,0.68328446,4
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2017-08-01,2017,8,0.73793656,5
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2017-09-01,2017,9,0.73966944,6
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2017-10-01,2017,10,0.7941882,7
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2017-11-01,2017,11,0.78044075,8
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2017-12-01,2017,12,0.7595308,9
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-01-01,2018,1,0.8157825,10
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-02-01,2018,2,0.8231995,11
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-03-01,2018,3,0.8880299,12
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-04-01,2018,4,0.8046832,13
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-05-01,2018,5,0.8573714,14
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-06-01,2018,6,0.8071625,15
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-07-01,2018,7,0.79738736,16
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-08-01,2018,8,0.80805117,17
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-09-01,2018,9,0.77493113,18
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-10-01,2018,10,0.85817116,19
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-11-01,2018,11,0.86694217,20
676421,252.0,Legend Waxahachie UPL Total,2017-03-01,Texas,Keystone North Texas,The Legends,2017.0,3.0,1.0,TX,Ellis,WAXAHACHIE,2018-12-01,2018,12,0.7907225,21
